,name,rate,review,category,location
0,رستوران لوکس طلایی,3.8,5,رستوران,رفسنجان،مطهری،ب. خلیج فارس
1,رستوران هتل باغ,2.9,7,رستوران,رفسنجان،آزادی،خ حجاب
2,رستوران زنجیره ای مصطفی کلبادی نژاد,4.2,12,رستوران,رفسنجان،مطهری
3,رستوران شمس,1.0,1,رستوران,رفسنجان،شریعتی،بلوار حسینی،خ. مصطفی خمینی
4,رستوران سنتی شمعدونی,null,null,رستوران,رفسنجان،ملا صدرا،بلوار صدر
5,رستوران شب های کویر (علی تاج),null,null,رستوران,رفسنجان،مطهری،بلوار طالقانی،خ طالقانی ۶۲،خ شهید صالحی
6,دروازه ی قطب آباد,null,null,رستوران,رفسنجان،ملا صدرا،خ شریعتی غربی،خ بنفشه
7,فست فود یزدان,null,null,فست‌فود,رفسنجان،مطهری،خ امیر کبیر غربی
8,پیتزا ساندویچ و مرغ سوخاری سپیده,null,null,فست‌فود,رفسنجان،مطهری،بلوار طالقانی
9,ساندویچ دهکده,null,null,فست‌فود,رفسنجان،مصطفی خمینی،جاده رفسنجان بین شهید محمدی ۱۶ و جاده نظم آباد
10,رستوران گلشن,2.0,1,رستوران,رفسنجان،آزادی،خ شهید شاه نظری،خ آیت الله هاشمی ۲
11,ساندویچ سادات,5.0,2,فست‌فود,رفسنجان بلوارازادی نبش بوستان آزادگان
12,غذا خوری,null,null,رستوران,رفسنجان،ملا صدرا،ب. ولایت
13,کافه بیلیارد,null,null,کافه رستوران,رفسنجان،مصطفی خمینی،خ دکتر حسابی ۷
14,پیتزا کارن,5.0,1,فست‌فود,رفسنجان،مطهری،خ. طالقانی،خ. هفده شهریور،بلوار جمهوری
15,عمارت شهر زاد,null,null,رستوران,رفسنجان،مطهری،بلوار مطهری،خ آب
16,فست فود تیرانو,null,null,فست‌فود,رفسنجان،مصطفی خمینی،خ معراج شمالی ۲۱
17,کباب سید باقر حسینی و پسران,5.0,2,کبابی,رفسنجان،مطهری،میدان شهید قاسم سلیمانی،خ شهدا،خ معلم
18,کبابی شاکری,5.0,1,کبابی,رفسنجان،شریعتی،میدان انقلاب،خ انقلاب
19,آناناس,null,null,رستوران,رفسنجان،مطهری،خ ابوذر
20,ساندویچ پانل و کانکس رفسنجان,null,null,فست‌فود,رفسنجان،شریعتی،خ شریعتی شرقی
21,رستوران ته چین,3.0,2,رستوران,رفسنجان.بلوار شهید مقیمی.نبش کوچه۳
22,ساندویچ سالار,null,null,رستوران,رفسنجان،مطهری،خ نوری،خ حجت،کنارگذر خلیج فارس
23,نان داغ کباب داغ ریحون,null,null,کبابی,رفسنجان،شریعتی،خ شریعتی شرقی بین بستان و پانزده خرداد
24,فست فود شما,null,null,فست‌فود,رفسنجان،آزادی،بلوار آزادی
25,پیتزا و فست فود سیرین,5.0,1,فست‌فود,رفسنجان،مطهری،بلوار طالقانی
26,پیتزا جزیره,5.0,1,فست‌فود,رفسنجان،امام علی،بلوار مفتح
27,کبابی و جگرکی سعیدی,null,null,رستوران,رفسنجان خ مصطفی خمینی نبش ۴۸
