Name,Location,Rate,Review,Review_normalized,Rate_normalized,CSAT,Normalized_CSAT,Cluster,Class
رستوران گیلانی,خیابان امام، روبروی بانک سپه، بین ۱۸/۱ و ۲۰، رستوران گیلانی,4.2,13,0.21666666666666667,0.7741935483870965,6.84,0.27244582043343646,3,C
آش شولی شاپ,"رفسنجان، خیابان امیرکبیر شرقی، امیرکبیر ۲۹، پلاک ۱,۲۶۶، آش شولی شاپ",4.7,2,0.03333333333333333,0.9354838709677418,3.89,0.12022703818369451,4,D
فست فود زرین مشرق زمین,خیابان امام خمینی، نبش کوچه ۹، فست فود زرین مشرق زمین,4.2,60,1.0,0.7741935483870965,20.94,0.9999999999999998,1,A
فست فود نوژان,خیابان شهید بهشتی، گلستان امین، فست فود نوژان,4.2,23,0.3833333333333333,0.7741935483870965,9.84,0.42724458204334353,2,B
ساندویچ دورهمی,رفسنجان، سی متری، خیابان امام خمینی، خیابان پاسداران، پلاک ۱۴۶، طبقه همکف، ساندویچ دورهمی,4.7,1,0.016666666666666666,0.9354838709677418,3.59,0.10474716202270379,4,D
فست فود زیره,رفسنجان، بلوار مدرس شمالی، مدرس ۲۲، نبش میدان ۹ دی، فست فود زیره,4.9,2,0.03333333333333333,0.9999999999999998,4.03,0.12745098039215685,4,D
فست فود چی لی ز,رفسنجان، میدان آبشار پسته، به طرف چهار راه ابوذر، نبش کوچه ۲۹، فست فود چی لی ز,4.2,3,0.05,0.7741935483870965,3.84,0.11764705882352938,4,D
فست فود فرهاد,رفسنجان، میدان شهدا، جنب گالری بارون، فست فود فرهاد,4.2,5,0.08333333333333333,0.7741935483870965,4.4399999999999995,0.14860681114551078,4,D
فست فود چی,رفسنجان، نبش طالقانی ۶۲، کنار پل هوایی، فست فود چی,4.5,3,0.05,0.8709677419354835,4.05,0.12848297213622287,4,D
رستوران گیلدخت,رفسنجان، خیابان طالقانی، کوچه ۵۸، چهار کوچه اول، سمت راست، رستوران گیلدخت,3.6,1,0.016666666666666666,0.5806451612903225,2.82,0.06501547987616096,0,E
رستوران کاکو,رفسنجان، بلوار مطهری، قبل سه راه حجت، رستوران کاکو,4.6,2,0.03333333333333333,0.9032258064516125,3.82,0.11661506707946334,4,D
رستوران شهرزاد,رفسنجان، خیابان امام خمینی، روبروی مسجد امام علی (ع)، رستوران شهرزاد,4.5,8,0.13333333333333333,0.8709677419354835,5.55,0.2058823529411764,3,C
فست فود گرین فود,رفسنجان، مطهری، خیابان پرستار، خیابان پرستار ۳، خیابان مدرس ۴، فست فود گرین فود,4.3,2,0.03333333333333333,0.8064516129032255,3.61,0.10577915376676983,4,D
فست فود قارچ ویچ,بلوار طالقانی، جنب فروشگاه رفاه، طبقه همکف، فست فود قارچ ویچ,1.8,1,0.016666666666666666,0.0,1.56,0.0,0,E
خانه برگر,قطب آباد، خیابان بنفشه، کوچه بنفشه ۱۷، پلاک ۱۳، طبقه همکف، خانه برگر,4.4,0,0.0,0.8387096774193548,3.08,0.0784313725490196,0,E
کبابی دایی ولی گلپایگانی,خیابان عدالت، نبش کوچه شهید میرزایی ۲، کبابی دایی ولی گلپایگانی,3.5,0,0.0,0.5483870967741935,2.4499999999999997,0.0459236326109391,0,E
جعبه سوخاری,بلوار طالقانی، پلاک ۸۴، جعبه سوخاری,3.8,12,0.2,0.6451612903225805,6.26,0.2425180598555211,3,C
فست فود تا به تا,بلوار طالقانی، روبروی پارک مادر، فست فود تا به تا,2.8,2,0.03333333333333333,0.32258064516129015,2.5599999999999996,0.05159958720330235,0,E
فست فود داژو,خیابان مدرس، بعد از چهارراه موزه، رو به روی پروژه آفتاب، نبش کوچه ۱۳، فست فود داژو,4.2,14,0.23333333333333334,0.7741935483870965,7.140000000000001,0.28792569659442724,3,C
فست فود تاپ تنور,عباس آباد، کوچه ابوذر ۹/۱، خیابان ابوذر، طبقه همکف، فست فود تاپ تنور,4.4,9,0.15,0.8387096774193548,5.779999999999999,0.21775025799793596,3,C
آشپزخانه و غذای بیرون بر همیشه بهار,خیایان شهید نوری، خیابان شهید غفاری، کوچه غفاری ۷، آشپزخانه و غذای بیرون بر همیشه بهار,3.7,13,0.21666666666666667,0.6129032258064515,6.49,0.25438596491228066,3,C
رستوران زنجیره ای مصطفی کلبادی نژاد,بلوار مطهری، بعد از پمپ بنزین، رستوران زنجیره ای مصطفی کلبادی نژاد,4.8,4,0.06666666666666667,0.9677419354838708,4.56,0.15479876160990708,4,D
جگرکی باباطاهر,خیابان مطهری، نبش کوچه ۴، روبروی بانک تجارت، جگرکی باباطاهر,3.9,8,0.13333333333333333,0.6774193548387095,5.13,0.18421052631578944,3,C
غذای بیرون بر سرو,میدان آزادی، آزادی دوم، طبقه زیرین سوپرمارکت، غذای بیرون بر سرو,3.9,4,0.06666666666666667,0.6774193548387095,3.9299999999999997,0.1222910216718266,4,D
مرغ بریانی گیلاس,سی متری، خیابان امیرکبیر، بلوار طالقانی، پلاک ۶۰۱، طبقه همکف، مرغ بریانی گیلاس,4.4,1,0.016666666666666666,0.8387096774193548,3.38,0.0939112487100103,4,D
فست فود امپراطور,رفسنجان، بلوار طالقانی، طالقانی ۳۰، فست فود امپراطور,4.6,8,0.13333333333333333,0.9032258064516125,5.619999999999999,0.20949432404540758,3,C
