Name,Location,Discount,Rate,Review,Category,Minimum Purchase
رستوران گیلانی,خیابان امام، روبروی بانک سپه، بین ۱۸/۱ و ۲۰، رستوران گیلانی,۳۰%,۴.۲,۱۳,"ایرانی, کباب, نوشیدنی, چلو کباب","۱۳۵,۰۰۰ تومان"
کافه قهوه کریمی,رفسنجان، خیابان مطهری، نبش کوچه ۳۹، کافه قهوه کریمی,No Discount,جدید,,Not Available,"۶۰,۰۰۰ تومان"
آشکده لیرو,رفسنجان، ملاصدرا، خیابان عدالت، آشکده لیرو,۳۰%,جدید,۱,"آش و حلیم, آش, نوشیدنی, لقمه کباب","۶۰,۰۰۰ تومان"
آش شولی شاپ,"رفسنجان، خیابان امیرکبیر شرقی، امیرکبیر ۲۹، پلاک ۱,۲۶۶، آش شولی شاپ",۳۰%,۴.۷,۲,"آش و حلیم, آش","۳۰,۰۰۰ تومان"
کافه قهوه آبشار,رفسنجان، بلوار طالقانی، بلوار هفدهم شهریور بعد از هفده شهریور ۲۳، کافه قهوه آبشار,No Discount,جدید,,Not Available,"۱۰۰,۰۰۰ تومان"
فست فود زرین مشرق زمین,خیابان امام خمینی، نبش کوچه ۹، فست فود زرین مشرق زمین,۳۰%,۴.۲,۶۰,"فست فود, سوخاری, پیتزا ایتالیایی , برگر, سس, نوشیدنی","۴۵,۰۰۰ تومان"
فست فود نوژان,خیابان شهید بهشتی، گلستان امین، فست فود نوژان,۳۰%,۴.۲,۲۳,"نوشیدنی شرکتی, نوشیدنی, برگر, پیتزا ایتالیایی , پیش غذا","۸۵,۰۰۰ تومان"
فست فود پلازا,مومن آباد، کوچه مصطفی خمینی ۴۹، بلوار مصطفی خمینی، پلاک ۶۱۱، طبقه همکف، فست فود پلازا,No Discount,جدید,۱,"نوشیدنی شرکتی, نوشیدنی","۱۹۰,۰۰۰ تومان"
آبمیوه بستنی ایران ۶۵,رفسنجان، خیابان ابوذر، بین کوچه ۳۸ تا ۴۰،، آبمیوه بستنی ایران ۶۵,No Discount,جدید,,Not Available,"۶۰,۰۰۰ تومان"
بستنی سنتی طلاب مشهد,رفسنجان، بلوار طالقانی، امیرکبیر شرقی، قبل از امیرکبیر شرقی ۲۹، بستنی سنتی طلاب مشهد,No Discount,جدید,,,"۷۰,۰۰۰ تومان"
ساندویچ دورهمی,رفسنجان، سی متری، خیابان امام خمینی، خیابان پاسداران، پلاک ۱۴۶، طبقه همکف، ساندویچ دورهمی,۳۰%,۴.۷,۱,"فست فود, ساندویچ, نوشیدنی","۶۰,۰۰۰ تومان"
رستوران دنیای مزه,رفسنجان، سی متری، کوچه معلم ۴، طالقانی ۳۳، بلوار طالقانی، پلاک ۴۷۳، طبقه همکف، رستوران دنیای مزه,No Discount,جدید,,"نوشیدنی شرکتی, نوشیدنی, کباب, خوراک دل و جگر","۹۰,۰۰۰ تومان"
ساندویچ سرد خورشید,رفسنجان، نبش خیابان ۱۷ شهریور غربی، ساندویچ سرد خورشید,No Discount,جدید,,"فست فود, ساندویچ سرد, نوشیدنی, ساندویچ","۶۰,۰۰۰ تومان"
فالوده بستنی ولیعصر,رفسنجان، بلوار مصطفی خمینی، بین کوچه ۳۹ و ۴۱، فالوده بستنی ولیعصر,No Discount,جدید,,,"۶۰,۰۰۰ تومان"
ساندویچ رجبی,رفسنجان، علی آباد، کوچه توحیدی فرد، خیابان امام خمینی، پلاک ۰، طبقه همکف، واحد ۳، ساندویچ رجبی,No Discount,جدید,,"فست فود, ساندویچ, نوشیدنی","۶۰,۰۰۰ تومان"
فست فود عقیق,رفسنجان، خیابان مدرس، تالار عقیق، فست فود عقیق,۳۰%,جدید,,"فست فود, پیتزا آمریکایی, نوشیدنی","۱۰۰,۰۰۰ تومان"
فست فود زیره,رفسنجان، بلوار مدرس شمالی، مدرس ۲۲، نبش میدان ۹ دی، فست فود زیره,۳۰%,۴.۹,۲,"فست فود, پیتزا ایتالیایی , نوشیدنی, سوخاری, برگر","۵۰,۰۰۰ تومان"
کافه بستنی دولپی,رفسنجان، خیابان مصطفی خمینی، بین کوچه ۴۵ و ۴۷، کافه بستنی دولپی,No Discount,جدید,,Not Available,"۵۰,۰۰۰ تومان"
قهوه رستا,رفسنجان، میدان بسیج جنب میدان، قهوه رستا,No Discount,جدید,,Not Available,"۶۰,۰۰۰ تومان"
کبابی آدانا,رفسنجان، مومن آباد، خیابان معراج شمالی، بلوار شهید حسینی، پلاک ۱۷۹/۰، طبقه همکف، کبابی آدانا,No Discount,جدید,,"ایرانی, کباب, دل و جگر, نوشیدنی, موکتل","۶۰,۰۰۰ تومان"
کبابی سعیدی,رفسنجان، بلوار مصطفی خمینی، مصطفی خمینی ۴۸، کبابی سعیدی,No Discount,جدید,,"نوشیدنی شرکتی, نوشیدنی, کباب, خوراک دل و جگر, خوراک","۶۰,۰۰۰ تومان"
پیتزا غروب,رفسنجان، خیابان طالقانی، طالقانی ۶۲، شهید صالحی، پیتزا غروب,No Discount,جدید,,"فست فود, پیتزا آمریکایی, پیتزا, نوشیدنی","۱۰۵,۰۰۰ تومان"
کافه فست فود ماهور,رفسنجان، بلوار طالقانی، کوچه ۶۲، کافه فست فود ماهور,No Discount,جدید,,Not Available,"۶۰,۰۰۰ تومان"
آبمیوه بستنی ژلینو,رفسنجان، میدان شهدا، نبش میدان، آبمیوه بستنی ژلینو,No Discount,جدید,,Not Available,"۶۰,۰۰۰ تومان"
فست فود چی لی ز,رفسنجان، میدان آبشار پسته، به طرف چهار راه ابوذر، نبش کوچه ۲۹، فست فود چی لی ز,۳۰%,۴.۲,۳,"نوشیدنی شرکتی, نوشیدنی, سوخاری","۶۰,۰۰۰ تومان"
آب میوه بستنی اکسیر,رفسنجان، شهرک امام خمینی، علامه امینی، تقاطع پانزده خرداد، آب میوه بستنی اکسیر,No Discount,جدید,,Not Available,"۱۰۰,۰۰۰ تومان"
فست فود فرهاد,رفسنجان، میدان شهدا، جنب گالری بارون، فست فود فرهاد,۳۰%,۴.۲,۵,"فست فود, ساندویچ, نوشیدنی, برگر","۶۰,۰۰۰ تومان"
کافه صبحانه و فست فود نشاط (مطهری),"رفسنجان، عباس آباد، خیابان شیخ مرتضی انصاری، بلوار شهید مطهری، پلاک ۱,۴۶۸، طبقه همکف، کافه صبحانه و فست فود نشاط (مطهری)",No Discount,جدید,,"صبحانه و میان وعده, صبحانه سنتی, برگر, املت, کله پاچه","۶۰,۰۰۰ تومان"
کافه صبحانه و فست فود لاله,رفسنجان، خیابان مطهری، بین کوچه ۳۹ و ۴۱، کافه صبحانه و فست فود لاله,No Discount,جدید,,"صبحانه و میان وعده, صبحانه سنتی, املت, نوشیدنی, اقلام صبحانه","۶۰,۰۰۰ تومان"
بیرون بر زیتون,رفسنجان، جنت گرامی، کوچه رفسنجانی ۱۱، بلوار رفسنجانی، طبقه ۱، بیرون بر زیتون,No Discount,جدید,,"نوشیدنی شرکتی, نوشیدنی, کباب, چلو خورشت , خورشت, چلو کباب","۶۵,۰۰۰ تومان"
آبمیوه بستنی آیس پک,رفسنجان، بلوار جمهوری، نبش کوچه ۳۷، آبمیوه بستنی آیس پک,No Discount,جدید,,Not Available,"۶۰,۰۰۰ تومان"
رستوران پامچال,رفسنجان، نبش میدان امام حسین (ع)، رستوران پامچال,No Discount,جدید,,"نوشیدنی شرکتی, نوشیدنی, چلو خورشت , چلو کباب, چلو پلو ایرانی","۱۱۳,۰۰۰ تومان"
فست فود چی,رفسنجان، نبش طالقانی ۶۲، کنار پل هوایی، فست فود چی,۳۰%,۴.۵,۳,"فست فود, پیتزا آمریکایی, نوشیدنی, ساندویچ","۱۰۰,۰۰۰ تومان"
قهوه دون,رفسنجان، میدان بسیج، ابتدای بلوار آیت اله صدر، قهوه دون,No Discount,جدید,,Not Available,"۶۰,۰۰۰ تومان"
قهوه جوکر,رفسنجان، خیابان شهید حسینی، نبش کوچه شماره ۲، قهوه جوکر,No Discount,جدید,,Not Available,"۶۰,۰۰۰ تومان"
کافه رستوران ایران,رفسنجان، میدان شهدا، جنب کوچه عطر شمیم، کافه رستوران ایران,No Discount,جدید,,"صبحانه و میان وعده, صبحانه سنتی, املت, پیتزا آمریکایی, نوشیدنی","۸۳,۰۰۰ تومان"
رستوران گیلدخت,رفسنجان، خیابان طالقانی، کوچه ۵۸، چهار کوچه اول، سمت راست، رستوران گیلدخت,۳۰%,۳.۶,۱,"نوشیدنی شرکتی, نوشیدنی, پیش غذا, چلو کباب","۱۰۰,۰۰۰ تومان"
رستوران سالم,رفسنجان، خیابان مطهری، مطهری ۵۵، جنب پمپ بنزین، رستوران سالم,No Discount,جدید,,"نوشیدنی شرکتی, نوشیدنی, چلو کباب, چلو پلو ایرانی, خوراک","۱۱۳,۰۰۰ تومان"
رستوران کاکو,رفسنجان، بلوار مطهری، قبل سه راه حجت، رستوران کاکو,۳۰%,۴.۶,۲,"نوشیدنی شرکتی, نوشیدنی, چلو پلو ایرانی, چلو کباب","۱۰۰,۰۰۰ تومان"
قهوه ترنج,رفسنجان، مومن آباد، کوچه مصطفی خمینی ۵۵، بلوار مصطفی خمینی، پلاک ۷۰۳، طبقه همکف، قهوه ترنج,No Discount,جدید,,Not Available,"۶۰,۰۰۰ تومان"
رستوران شهرزاد,رفسنجان، خیابان امام خمینی، روبروی مسجد امام علی (ع)، رستوران شهرزاد,۳۰%,۴.۵,۸,"نوشیدنی شرکتی, نوشیدنی, کباب, خوراک","۵۰,۰۰۰ تومان"
کافه صبحانه آرام,رفسنجان، میدان شهدا، جنب بستنی فروشی نازنین، کافه صبحانه آرام,No Discount,جدید,,Not Available,"۶۰,۰۰۰ تومان"
